"Date","Price","Open","High","Low","Change %"
"Nov 07, 2013","6.0908","6.0928","6.0963","6.0898","-0.03%"
"Nov 06, 2013","6.0927","6.0968","6.0976","6.0926","-0.07%"
"Nov 05, 2013","6.0968","6.0993","6.0993","6.0954","-0.04%"
"Nov 04, 2013","6.0990","6.1000","6.1032","6.0961","-0.01%"
"Nov 01, 2013","6.0995","6.0947","6.0998","6.0927","0.08%"
"Oct 31, 2013","6.0945","6.0937","6.0950","6.0911","0.01%"
"Oct 30, 2013","6.0938","6.0904","6.0949","6.0904","0.06%"
"Oct 29, 2013","6.0902","6.0855","6.0909","6.0848","0.08%"
"Oct 28, 2013","6.0855","6.0840","6.0860","6.0821","0.02%"
"Oct 25, 2013","6.0840","6.0815","6.0840","6.0801","0.03%"
"Oct 24, 2013","6.0820","6.0840","6.0844","6.0808","-0.02%"
"Oct 23, 2013","6.0835","6.0927","6.0927","6.0832","-0.15%"
"Oct 22, 2013","6.0927","6.0925","6.0955","6.0913","0.00%"
"Oct 21, 2013","6.0926","6.0970","6.0970","6.0912","-0.07%"
"Oct 18, 2013","6.0968","6.0979","6.0979","6.0912","-0.02%"
"Oct 17, 2013","6.0982","6.1007","6.1007","6.0944","-0.03%"
"Oct 16, 2013","6.0998","6.1028","6.1057","6.0959","-0.05%"
"Oct 15, 2013","6.1026","6.1074","6.1087","6.0998","-0.09%"
"Oct 14, 2013","6.1079","6.1199","6.1199","6.1068","-0.21%"
"Oct 11, 2013","6.1206","6.1158","6.1206","6.1107","0.08%"
"Oct 10, 2013","6.1158","6.1207","6.1209","6.1150","-0.09%"
"Oct 09, 2013","6.1211","6.1203","6.1211","6.1182","0.00%"
"Oct 08, 2013","6.1211","6.1217","6.1217","6.1179","-0.01%"
"Oct 07, 2013","6.1215","6.1215","6.1215","6.1215","0.00%"
"Oct 04, 2013","6.1215","6.1215","6.1215","6.1215","0.00%"
"Oct 03, 2013","6.1215","6.1215","6.1215","6.1215","0.00%"
"Oct 02, 2013","6.1215","6.1215","6.1215","6.1215","0.00%"
"Oct 01, 2013","6.1215","6.1215","6.1215","6.1215","0.00%"
"Sep 30, 2013","6.1215","6.1195","6.1228","6.1185","0.03%"
"Sep 27, 2013","6.1199","6.1220","6.1235","6.1199","-0.02%"
"Sep 26, 2013","6.1214","6.1200","6.1223","6.1200","0.02%"
"Sep 25, 2013","6.1200","6.1218","6.1229","6.1190","-0.01%"
"Sep 24, 2013","6.1209","6.1205","6.1210","6.1183","-0.00%"
"Sep 23, 2013","6.1210","6.1213","6.1213","6.1176","-0.00%"
"Sep 20, 2013","6.1212","6.1212","6.1212","6.1212","0.00%"
"Sep 19, 2013","6.1212","6.1212","6.1212","6.1212","0.00%"
"Sep 18, 2013","6.1212","6.1212","6.1222","6.1196","-0.00%"
"Sep 17, 2013","6.1215","6.1204","6.1217","6.1192","0.02%"
"Sep 16, 2013","6.1203","6.1191","6.1213","6.1167","0.02%"
"Sep 13, 2013","6.1188","6.1177","6.1190","6.1165","0.01%"
"Sep 12, 2013","6.1180","6.1185","6.1189","6.1162","-0.01%"
"Sep 11, 2013","6.1185","6.1202","6.1202","6.1175","-0.02%"
"Sep 10, 2013","6.1200","6.1195","6.1217","6.1179","-0.02%"
"Sep 09, 2013","6.1210","6.1203","6.1219","6.1136","0.01%"
"Sep 06, 2013","6.1205","6.1200","6.1212","6.1183","0.01%"
"Sep 05, 2013","6.1199","6.1193","6.1209","6.1180","-0.00%"
