"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 20, 2020","8,560.73","8,553.38","8,684.91","8,553.38","876.31M","-1.03%"
"Apr 17, 2020","8,650.14","8,667.48","8,670.30","8,531.69","1.06B","1.38%"
"Apr 16, 2020","8,532.36","8,479.11","8,560.16","8,393.27","919.56M","1.66%"
"Apr 15, 2020","8,393.18","8,355.96","8,464.66","8,308.79","794.06M","-1.44%"
"Apr 14, 2020","8,515.74","8,353.21","8,531.11","8,338.08","849.82M","3.95%"
"Apr 13, 2020","8,192.42","8,127.69","8,200.44","8,035.95","761.87M","0.48%"
"Apr 09, 2020","8,153.57","8,169.01","8,227.91","8,072.32","925.80M","0.77%"
"Apr 08, 2020","8,090.90","7,975.72","8,114.43","7,901.94","838.25M","2.58%"
"Apr 07, 2020","7,887.26","8,129.99","8,146.43","7,881.22","1.00B","-0.33%"
"Apr 06, 2020","7,913.24","7,660.17","7,938.33","7,617.79","980.15M","7.33%"
"Apr 03, 2020","7,373.08","7,477.27","7,518.72","7,288.11","836.10M","-1.53%"
"Apr 02, 2020","7,487.31","7,317.45","7,501.70","7,307.95","912.99M","1.72%"
"Apr 01, 2020","7,360.58","7,459.50","7,566.37","7,301.98","914.11M","-4.41%"
"Mar 31, 2020","7,700.10","7,740.06","7,880.31","7,642.86","1.10B","-0.95%"
"Mar 30, 2020","7,774.15","7,583.46","7,784.35","7,539.97","926.45M","3.62%"
"Mar 27, 2020","7,502.38","7,554.25","7,716.24","7,491.14","1.00B","-3.79%"
"Mar 26, 2020","7,797.54","7,462.21","7,809.82","7,462.21","1.01B","5.60%"
"Mar 25, 2020","7,384.30","7,421.36","7,671.21","7,276.40","1.19B","-0.45%"
"Mar 24, 2020","7,417.86","7,196.15","7,418.37","7,169.86","1.15B","8.12%"
"Mar 23, 2020","6,860.67","6,847.28","6,984.94","6,631.42","1.08B","-0.27%"
"Mar 20, 2020","6,879.52","7,248.07","7,354.44","6,854.67","1.64B","-3.79%"
"Mar 19, 2020","7,150.58","6,996.45","7,341.38","6,858.38","1.19B","2.30%"
"Mar 18, 2020","6,989.84","6,902.32","7,182.83","6,686.36","1.26B","-4.70%"
