"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 06, 2012","32.019","31.120","32.150","31.120","0.02K","2.91%"
"Nov 05, 2012","31.113","30.785","31.155","30.785","0.02K","0.19%"
"Nov 04, 2012","31.053","30.880","31.063","30.865","-","0.71%"
"Nov 02, 2012","30.835","32.105","32.105","30.900","0.01K","-4.32%"
"Nov 01, 2012","32.226","32.470","32.470","32.330","0.00K","-0.19%"
"Oct 31, 2012","32.288","32.190","32.250","32.190","0.00K","1.57%"
"Oct 30, 2012","31.788","31.770","31.850","31.765","0.04K","0.19%"
"Oct 29, 2012","31.727","31.727","31.727","31.727","-","-1.06%"
"Oct 28, 2012","32.068","32.133","32.133","31.975","-","0.18%"
"Oct 26, 2012","32.011","32.120","32.305","31.650","0.03K","-0.12%"
"Oct 25, 2012","32.049","32.000","32.000","32.000","0.00K","1.44%"
"Oct 24, 2012","31.595","31.850","31.850","31.850","0.00K","-0.54%"
"Oct 23, 2012","31.768","31.900","31.900","31.700","0.02K","-1.42%"
"Oct 22, 2012","32.227","32.150","32.150","32.150","0.01K","1.09%"
"Oct 21, 2012","31.880","31.993","32.005","31.738","-","-0.60%"
"Oct 19, 2012","32.073","32.610","32.610","32.040","0.04K","-2.33%"
"Oct 18, 2012","32.838","32.785","32.980","32.785","0.02K","-1.08%"
"Oct 17, 2012","33.197","33.020","33.200","33.020","0.00K","0.84%"
"Oct 16, 2012","32.922","32.765","32.970","32.765","0.01K","0.66%"
"Oct 15, 2012","32.707","32.570","32.755","32.570","0.00K","-1.34%"
"Oct 14, 2012","33.150","33.485","33.485","33.075","-","-1.44%"
"Oct 12, 2012","33.633","33.735","33.735","33.735","0.00K","-1.21%"
"Oct 11, 2012","34.046","34.050","34.050","34.050","0.00K","-0.08%"
