"date","open","high","low","value","volume","date_fmt","interval"
"2020-09-17","0.95029106","0.9945712349999999","0.94798079","0.9714685350000001","152592017.99375752","2020-09-17","histoday"
"2020-09-18","0.9714685350000001","0.9826348399999999","0.94875088","0.9656928600000001","127474992.1175865","2020-09-18","histoday"
"2020-09-19","0.9656928600000001","0.9810946600000001","0.95260133","0.9672330399999999","91445106.33140549","2020-09-19","histoday"
"2020-09-20","0.9672330399999999","0.9672330399999999","0.934504215","0.949135925","75564367.761615","2020-09-20","histoday"
"2020-09-21","0.949135925","0.9549116","0.8836782750000001","0.8890689049999999","145051935.69593498","2020-09-21","histoday"
"2020-09-22","0.8890689049999999","0.9029305249999999","0.88483341","0.897539895","107215922.562632","2020-09-22","histoday"
"2020-09-23","0.897539895","0.9056258399999999","0.849794315","0.852874675","111212650.773087","2020-09-23","histoday"
"2020-09-24","0.852874675","0.9002352100000001","0.8455588199999999","0.8967698049999999","120764568.74555199","2020-09-24","histoday"
"2020-09-25","0.8967698049999999","0.942975205","0.8844483649999999","0.9298836749999999","140832004.9464205","2020-09-25","histoday"
"2020-09-26","0.9298836749999999","0.9452854749999999","0.9167921450000001","0.93026872","73565423.3935725","2020-09-26","histoday"
"2020-09-27","0.93026872","0.94259016","0.91486692","0.936814485","59303924.342424996","2020-09-27","histoday"
"2020-09-28","0.936814485","0.95645178","0.92333791","0.92795845","105055971.666344","2020-09-28","histoday"
"2020-09-29","0.92795845","0.94952097","0.918332325","0.9348892599999999","96147079.382942","2020-09-29","histoday"
"2020-09-30","0.9348892599999999","0.9348892599999999","0.915251965","0.9310388099999999","83928463.0703905","2020-09-30","histoday"
"2020-10-01","0.9310388099999999","0.941435025","0.9010053","0.9167921450000001","101557590.1804","2020-10-01","histoday"
"2020-10-02","0.9167921450000001","0.9214126850000001","0.88098296","0.901390345","114807968.646934","2020-10-02","histoday"
"2020-10-03","0.901390345","0.90485575","0.89638476","0.8967698049999999","41687181.242228","2020-10-03","histoday"
"2020-10-04","0.8967698049999999","0.9629975449999999","0.89253431","0.9549116","120892476.613075","2020-10-04","histoday"
"2020-10-05","0.9549116","0.9791694350000001","0.94952097","0.9637676350000001","157082383.71286","2020-10-05","histoday"
"2020-10-06","0.9637676350000001","0.9984216849999998","0.92641827","0.9456705200000001","233614998.800014","2020-10-06","histoday"
"2020-10-07","0.9456705200000001","0.967618085","0.92795845","0.95799196","121585255.62228149","2020-10-07","histoday"
